WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x1052205b0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x1052209a0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x105221090>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x101534640>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x1015348b0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x101534fa0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x105a6c610>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x105a6c880>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x105a6cf70>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x1033f05e0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x1033f0850>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=0, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x1033f0f40>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/sendDocument
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=2, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x1021750c0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/getMe
WARNING:telegram.vendor.ptb_urllib3.urllib3.connectionpool:Retrying (Retry(total=1, connect=None, read=None, redirect=None)) after connection broken by 'NewConnectionError('<telegram.vendor.ptb_urllib3.urllib3.connection.VerifiedHTTPSConnection object at 0x1021753f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /bot5955607641:AAEy5DlDL_7G4FqBlreqq5f4c665RXxywd0/getMe
